Confirmed list of securities to be auctioned in A 2025117 to be held on Jun 23 2025.

Sr No,Symbol,Series,Total Qty
1,20MICRONS,EQ,190
2,360ONE,EQ,1
3,AAKASH,EQ,27409
4,AARTIIND,EQ,2
5,ABB,EQ,470
6,ABCAPITAL,EQ,155
7,ACI,EQ,5
8,ADANIENSOL,EQ,2
9,ADANIPORTS,EQ,3941
10,AEGISLOG,EQ,10
11,AEROFLEX,EQ,2
12,AFCONS,EQ,38
13,AIROLAM,EQ,1
14,ALKYLAMINE,EQ,2
15,AMBER,EQ,2
16,APOLLOHOSP,EQ,599
17,ASAHIINDIA,EQ,5
18,ASIANPAINT,EQ,1832
19,AUBANK,EQ,1
20,AXISBANK,EQ,492
21,AYMSYNTEX,EQ,42
22,BAJAJ-AUTO,EQ,1305
23,BAJAJFINSV,EQ,1191
24,BAJFINANCE,EQ,10
25,BANKBARODA,EQ,13415
26,BCLIND,EQ,10
27,BEL,EQ,26394
28,BELRISE,EQ,26009
29,BEML,EQ,126
30,BHARATFORG,EQ,51
31,BHARTIARTL,EQ,5025
32,BHARTIHEXA,EQ,6
33,BHEL,EQ,2
34,BOSCHLTD,EQ,71
35,BPCL,EQ,321
36,BRITANNIA,EQ,730
37,BSE,EQ,10
38,CAMS,EQ,5
39,CANBK,EQ,200
40,CDSL,EQ,15
41,CGPOWER,EQ,8715
42,CHAMBLFERT,EQ,20
43,CHEMPLASTS,EQ,1000
44,CHENNPETRO,EQ,25
45,CHOICEIN,EQ,1
46,CHOLAFIN,EQ,7297
47,CIEINDIA,EQ,125
48,COALINDIA,EQ,809
49,COCHINSHIP,EQ,4
50,COMPUSOFT,EQ,170
51,CONCORDBIO,EQ,1
52,DABUR,EQ,8765
53,DANISH,SM,150
54,DBCORP,EQ,25
55,DEEDEV,EQ,200
56,DEVYANI,EQ,1
57,DIACABS,EQ,32
58,DIFFNKG,EQ,1
59,DIVISLAB,EQ,753
60,DIXON,EQ,16
61,DLF,EQ,3567
62,DMCC,EQ,1
63,DNAMEDIA,EQ,1
64,DREAMFOLKS,EQ,33
65,DRREDDY,EQ,2184
66,ECLERX,EQ,37
67,EICHERMOT,EQ,190
68,EIHOTEL,EQ,1
69,ELECTHERM,EQ,10
70,ETERNAL,EQ,14456
71,ETHOSLTD,EQ,7002
72,FINPIPE,EQ,1000
73,GABRIEL,EQ,2
74,GARUDA,EQ,3
75,GESHIP,EQ,10
76,GODHA,EQ,37040
77,GODIGIT,EQ,25
78,GODREJCP,EQ,2689
79,GOLD360,EQ,32
80,GREENPOWER,EQ,2500
81,GROWWSLVR,EQ,1
82,GRSE,EQ,10
83,GSEC10ABSL,EQ,4
84,GUFICBIO,EQ,2
85,HAL,EQ,1145
86,HBLENGINE,EQ,1
87,HCLTECH,EQ,3252
88,HDFCLIFE,EQ,1
89,HEROMOTOCO,EQ,776
90,HINDALCO,EQ,8781
91,HINDCOPPER,EQ,10
92,HOMEFIRST,EQ,1
93,HONAUT,EQ,1
94,HUDCO,EQ,502
95,HYUNDAI,EQ,62
96,ICICIBANK,EQ,10
97,ICICIGI,EQ,151
98,IDEA,EQ,15875
99,IEX,EQ,1
100,IFBIND,EQ,17
101,IGL,EQ,176
102,IIFL,EQ,5
103,IKS,EQ,2
104,INDHOTEL,EQ,8519
105,INDIAGLYCO,EQ,10
106,INDIGO,EQ,818
107,INDSWFTLAB,EQ,1
108,INDUSINDBK,EQ,259
109,INFIBEAM,EQ,132
110,INFY,EQ,2782
111,IOC,EQ,2016
112,IPCALAB,EQ,1
113,IPL,EQ,1
114,IRB,EQ,2000
115,IRCON,EQ,87
116,IRCTC,EQ,100
117,IREDA,EQ,44
118,IRFC,EQ,6
119,ITCHOTELS,EQ,32
120,J&KBANK,EQ,914
121,JAIPURKURT,EQ,45
122,JINDALSAW,EQ,2
123,JINDALSTEL,EQ,314
124,JIOFIN,EQ,17938
125,JSWENERGY,EQ,1223
126,JYOTISTRUC,EQ,4
127,KAKATCEM,EQ,1
128,KALYANKJIL,EQ,50
129,KAYNES,EQ,2
130,KOTAKBANK,EQ,3509
131,KPEL,EQ,16
132,KRIDHANINF,EQ,4329
133,KRISHANA,EQ,2
134,LAOPALA,EQ,100
135,LAXMICOT,EQ,1
136,LEMONTREE,EQ,649
137,LICHSGFIN,EQ,6
138,LICI,EQ,3133
139,LINC,EQ,2
140,LODHA,EQ,2859
141,LT,EQ,53
142,LTIM,EQ,556
143,LUPIN,EQ,34850
144,M&M,EQ,4134
145,MAHKTECH,EQ,5
146,MANAKSIA,EQ,1641
147,MANAPPURAM,EQ,100
148,MANINDS,EQ,2
149,MAZDOCK,EQ,4
150,MEGASTAR,EQ,57
151,MODTHREAD,EQ,8
152,MONTECARLO,EQ,1
153,MPHASIS,EQ,2
154,MUTHOOTFIN,EQ,3
155,NATIONALUM,EQ,649
156,NAUKRI,EQ,2
157,NAVINFLUOR,EQ,1
158,NAZARA,EQ,23
159,NESTLEIND,EQ,2
160,NHPC,EQ,3
161,NILAINFRA,EQ,816
162,NIVABUPA,EQ,75
163,NRBBEARING,EQ,2500
164,NTPC,EQ,2592
165,NTPCGREEN,EQ,226
166,OLAELEC,EQ,100
167,OMAXE,EQ,1
168,ONELIFECAP,EQ,2709
169,ONGC,EQ,14803
170,ONMOBILE,EQ,6
171,ORIENTLTD,EQ,1
172,OSWALGREEN,EQ,1
173,OSWALPUMPS,EQ,171
174,PARSVNATH,EQ,199
175,PAYTM,EQ,17
176,PCBL,EQ,20
177,PFC,EQ,317
178,PGEL,EQ,100
179,PGIL,EQ,20
180,PHOENIXLTD,EQ,22
181,PIDILITIND,EQ,1315
182,PNB,EQ,6469
183,POLICYBZR,EQ,167
184,POWERGRID,EQ,21039
185,POWERINDIA,EQ,2
186,PROSTARM,EQ,285
187,PSB,EQ,30
188,RADICO,EQ,4
189,RBLBANK,EQ,2
190,RECLTD,EQ,1853
191,RELIANCE,EQ,12671
192,RHIM,EQ,200
193,RUBYMILLS,EQ,28
194,RVNL,EQ,26
195,SAGILITY,EQ,5
196,SAIL,EQ,50
197,SAILIFE,EQ,283
198,SANDHAR,EQ,1
199,SAURASHCEM,EQ,2
200,SBILIFE,EQ,2377
201,SBIN,EQ,100
202,SESHAPAPER,EQ,28
203,SHRIRAMFIN,EQ,15
204,SIEMENS,EQ,602
205,SILVER1,EQ,383
206,SILVERIETF,EQ,2
207,SOLARAPP1,E1,6
208,SONACOMS,EQ,100
209,SONATSOFTW,EQ,1
210,SPARC,EQ,2
211,STERTOOLS,EQ,1
212,STLTECH,EQ,3
213,SUPRAJIT,EQ,52
214,SUZLON,EQ,5
215,SWIGGY,EQ,26365
216,TAJGVK,EQ,2
217,TALBROAUTO,EQ,4
218,TATACONSUM,EQ,2805
219,TATASTEEL,EQ,62
220,TATVA,EQ,500
221,TECHM,EQ,253
222,TEJASNET,EQ,3
223,TFCILTD,EQ,245
224,TIRUMALCHM,EQ,25
225,TMB,EQ,5000
226,TOKYOPLAST,EQ,4
227,TREJHARA,EQ,1
228,TREL,EQ,1
229,TRENT,EQ,986
230,ULTRACEMCO,EQ,407
231,UMAEXPORTS,EQ,1
232,UNITDSPR,EQ,1522
233,UPLPP1,E1,57
234,UTTAMSUGAR,EQ,500
235,VBL,EQ,9817
236,VEDL,EQ,9280
237,VIMTALABS,EQ,10
238,VINCOFE,EQ,1
239,VLSFINANCE,EQ,200
240,VMM,EQ,29
241,WAAREEENER,EQ,166
242,WEBELSOLAR,EQ,4
243,WIPRO,EQ,13455
244,YESBANK,EQ,7
245,ZYDUSLIFE,EQ,1
