Confirmed list of securities to be auctioned in A 2025152 to be held on Aug 11 2025.

Sr No,Symbol,Series,Total Qty
1,769NHAI31,NE,46
2,ACMESOLAR,EQ,2
3,ADANIENSOL,EQ,1
4,ADANIGREEN,EQ,36
5,ADANIPORTS,EQ,10
6,AEGISVOPAK,EQ,1
7,ALOKINDS,EQ,5000
8,ANGELONE,EQ,34
9,ANIKINDS,EQ,2
10,APOLLO,EQ,350
11,AROGRANITE,EQ,2
12,ASHAPURMIN,EQ,177
13,ASHOKA,EQ,2
14,ASIANENE,EQ,1
15,ASIANHOTNR,EQ,10
16,AUBANK,EQ,30
17,BAJAJFINSV,EQ,6
18,BCG,EQ,70
19,BEL,EQ,50
20,BGRENERGY,EQ,100
21,BHARTIARTL,EQ,33
22,BLACKBUCK,EQ,250
23,BLKASHYAP,EQ,1
24,BLUESTARCO,EQ,60
25,BPCL,EQ,204
26,CARYSIL,EQ,2
27,CGCL,EQ,500
28,COFORGE,EQ,10
29,CONCOR,EQ,32
30,CPPLUS,EQ,92
31,CUMMINSIND,EQ,125
32,DABUR,EQ,71
33,DATAPATTNS,EQ,10
34,DELHIVERY,EQ,2
35,DRREDDY,EQ,40
36,EBGNG,EQ,13
37,EIEL,EQ,400
38,ENGINERSIN,EQ,4
39,ETERNAL,EQ,2
40,FSL,EQ,50
41,GALLANTT,EQ,26
42,GODFRYPHLP,EQ,44
43,GOKULAGRO,EQ,149
44,GPTHEALTH,EQ,126
45,GRMOVER,EQ,2
46,GROWWGOLD,EQ,3
47,GSFC,EQ,130
48,GSLSU,EQ,2
49,GULPOLY,EQ,31
50,GVPTECHPP,E1,2
51,HCG,EQ,1
52,HDBFS,EQ,36
53,HERANBA,EQ,1
54,HINDPETRO,EQ,49
55,HLEGLAS,EQ,25
56,HUDCO,EQ,40
57,IDEA,EQ,110
58,IDEAFORGE,EQ,100
59,IFCI,EQ,250
60,INDIGOPNTS,EQ,100
61,INDUSINDBK,EQ,18
62,INNOVANA,EQ,500
63,IOC,EQ,7
64,IRMENERGY,EQ,100
65,ITC,EQ,100
66,ITDCEM,EQ,4
67,JUNIPER,EQ,6
68,KAJARIACER,EQ,242
69,KALYANKJIL,EQ,1
70,KEI,EQ,3
71,KRBL,EQ,100
72,LANCORHOL,EQ,36
73,LAXMICOT,EQ,3
74,LAXMIINDIA,EQ,239
75,LICI,EQ,290
76,LIQUID,EQ,39
77,LIQUIDCASE,EQ,10000
78,LOTUSDEV,EQ,3
79,LOTUSEYE,EQ,57
80,LXCHEM,EQ,203
81,MAFANG,EQ,1263
82,MANKIND,EQ,3
83,MAXIND,EQ,1
84,MBEL,EQ,15
85,MIRCELECTR,EQ,25717
86,MOBIKWIK,EQ,2
87,MUNJALSHOW,EQ,15
88,MUTHOOTCAP,EQ,2
89,NATCOPHARM,EQ,49
90,NCLIND,EQ,1
91,NELCO,EQ,10
92,NIBE,EQ,73
93,NILASPACES,EQ,1
94,NORTHARC,EQ,1
95,OILCOUNTUB,EQ,47
96,ONGC,EQ,1
97,PANACEABIO,EQ,1
98,PARADEEP,EQ,320
99,PARASPETRO,EQ,37
100,PAYTM,EQ,21
101,PDSL,EQ,1000
102,PGEL,EQ,63
103,PHOENIXLTD,EQ,41
104,PNB,EQ,650
105,PNBHOUSING,EQ,2
106,PNGJL,EQ,17
107,PODDARMENT,EQ,1
108,POLYPLEX,EQ,100
109,PRAKASHSTL,EQ,6
110,PSUBANK,EQ,94
111,RAILTEL,EQ,192
112,RATEGAIN,EQ,50
113,RCF,EQ,1
114,RECLTD,EQ,100
115,RVNL,EQ,3732
116,SADBHAV,EQ,13
117,SAGILITY,EQ,288
118,SANDESH,EQ,16
119,SANDUMA,EQ,70
120,SANGHVIMOV,EQ,8
121,SHAKTIPUMP,EQ,182
122,SHANTIGOLD,EQ,50
123,SHREEPUSHK,EQ,1
124,SMLISUZU,EQ,795
125,SMSPHARMA,EQ,1
126,SOTL,EQ,2
127,SSWL,EQ,2
128,SUZLON,EQ,500
129,SWELECTES,EQ,1
130,TATATECH,EQ,2
131,TECHNOE,EQ,10
132,THOMASCOOK,EQ,10
133,TRENT,EQ,13
134,UJJIVANSFB,EQ,1000
135,UPL,EQ,7
136,VENKEYS,EQ,25
137,VIVIDHA,EQ,1
138,WEWIN,EQ,300
139,YESBANK,EQ,21600
140,ZUARI,EQ,200
