Sr. No,Symbol,Series,Security Name,From,To
1,ARISTO,ST,ARISTO BIO-TECH AND LIFESCIENCE LIMITED,2,5
2,ATLASCYCLE,BE,ATLAS CYCLES (HARYANA) LIMITED,2,5
3,CEREBRAINT,BZ,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,2,5
4,ELGIRUBCO,BE,ELGI RUBBER COMPANY LIMITED,2,5
5,HOACFOODS,ST,HOAC FOODS INDIA LIMITED,2,5
6,KHAICHEM,BE,KHAITAN CHEMICALS & FERTILIZERS LIMITED,2,5
7,KORE,ST,JAY JALARAM TECHNOLOGIES LIMITED,2,5
8,LASA,BE,LASA SUPERGENERICS LIMITED,2,5
9,MEGASOFT,BE,MEGASOFT LIMITED,2,5
10,NAVKARURB,BE,NAVKAR URBANSTRUCTURE LIMITED,2,5
11,NRAIL,BE,N R AGARWAL INDUSTRIES LIMITED,2,5
12,REFRACTORY,ST,REFRACTORY SHAPES LIMITED,2,5
13,SABAR,ST,SABAR FLEX INDIA LIMITED,2,5
14,SAIFL,ST,SAMEERA AGRO AND INFRA LIMITED,2,5
15,SETCO,BE,SETCO AUTOMOTIVE LIMITED,2,5
16,SPLIL,BE,SPL INDUSTRIES LIMITED,2,5
17,TEMBO,BE,TEMBO GLOBAL INDUSTRIES LIMITED,2,5
18,VLEGOV,BE,VL E GOVERNANCE & IT SOLUTIONS LIMITED,2,5
19,WELINV,BE,WELSPUN INVESTMENTS AND COMMERCIALS LIMITED,2,5
20,INNOVANA,BE,INNOVANA THINKLABS LIMITED,20,5
21,AGNI,SM,AGNI GREEN POWER LIMITED,5,20
22,ASHIMASYN,EQ,ASHIMA LIMITED,5,20
23,EVERESTIND,EQ,EVEREST INDUSTRIES LIMITED,5,20
24,GCHOTELS,SM,GRAND CONTINENT HOTELS LIMITED,5,20
25,JIWANRAM,SM,JIWANRAM SHEODUTTRAI INDUSTRIES LIMITED,5,20
26,NMSTEEL,SM,NEWMALAYALAM STEEL LIMITED,5,20
27,NORBTEAEXP,BE,NORBEN TEA & EXPORTS LIMITED,5,2
28,ROCKINGDCE,SM,ROCKINGDEALS CIRCULAR ECONOMY LIMITED,5,10
29,SATIPOLY,SM,SATI POLY PLAST LIMITED,5,10
30,SAVY,SM,SAVY INFRA AND LOGISTICS LIMITED,5,20
31,TIMESGTY,BE,TIMES GUARANTY LIMITED,5,2
32,TIRUPATIFL,EQ,TIRUPATI FORGE LIMITED,5,10
33,WSI,EQ,W S INDUSTRIES (I) LIMITED,5,20
34,SRPL,BZ,SHREE RAM PROTEINS LIMITED,2,5
